hlj_id,domain,tag,domain_valid,validation_reason,model,req_id
REQ-006-HLJ-Chunk_1-Item_4-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_4-v1.0,FinTech,api-gateway,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_4-v1.0,FinTech,enforcement,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_4-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_4-v1.0,FinTech,infrastructure,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_5-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_5-v1.0,FinTech,feedback,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_5-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_5-v1.0,FinTech,instant feedback,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_6-v1.0,FinTech,compliance,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_6-v1.0,FinTech,logging,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_6-v1.0,FinTech,monitoring,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_6-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_6-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_7-v1.0,FinTech,monitoring,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_7-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_7-v1.0,FinTech,alert,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_7-v1.0,FinTech,dashboard,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_7-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_8-v1.0,FinTech,monitoring,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_8-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_8-v1.0,FinTech,usage metrics,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_8-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_8-v1.0,FinTech,self-service,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_8-v1.0,FinTech,alert,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_9-v1.0,FinTech,reporting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_9-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_9-v1.0,FinTech,compliance,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_9-v1.0,FinTech,metrics,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_9-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_9-v1.0,FinTech,self-service,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_10-v1.0,FinTech,security,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_10-v1.0,FinTech,reporting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_10-v1.0,FinTech,compliance,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_10-v1.0,FinTech,billing,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_10-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_1-Item_10-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_1-v1.0,FinTech,security,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_1-v1.0,FinTech,abuse-detection,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_1-v1.0,FinTech,support,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_1-v1.0,FinTech,monitoring,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_1-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_1-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_1-v1.0,FinTech,audit,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_2-v1.0,FinTech,audit,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_2-v1.0,FinTech,override,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_2-v1.0,FinTech,security,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_2-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_2-v1.0,FinTech,multi-factor approval,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_2-v1.0,FinTech,availability,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_2-v1.0,FinTech,fallback,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_3-v1.0,FinTech,fallback,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_3-v1.0,FinTech,security,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_3-v1.0,FinTech,availability,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_3-v1.0,FinTech,rollback,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_3-v1.0,FinTech,tenant segment,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_3-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_4-v1.0,FinTech,security,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_4-v1.0,FinTech,authentication,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_4-v1.0,FinTech,compliance,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_4-v1.0,FinTech,testing,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_4-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_4-v1.0,FinTech,sandbox environments,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_4-v1.0,FinTech,audit,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,mfa,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,security,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,rollback,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,audit,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,documentation,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,rate-limiting,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,api,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,availability,True,whitelist,meta70b,req-006
REQ-006-HLJ-Chunk_2-Item_5-v1.0,FinTech,access-control,True,whitelist,meta70b,req-006
REQ-001-HLJ-Chunk_1-Item_1-v1.0,FinTech,api,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_1-v1.0,FinTech,endpoint,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_1-v1.0,FinTech,openbanking,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_1-v1.0,FinTech,compliance,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_1-v1.0,FinTech,spec,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_2-v1.0,FinTech,api,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_2-v1.0,FinTech,pagination,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_2-v1.0,FinTech,filter,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_1-Item_2-v1.0,FinTech,performance,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_1-v1.0,FinTech,api,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_1-v1.0,FinTech,oauth,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_1-v1.0,FinTech,security,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_1-v1.0,FinTech,compliance,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_2-v1.0,FinTech,documentation,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_2-v1.0,FinTech,api,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_2-v1.0,FinTech,support,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_2-v1.0,FinTech,audit,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_2-v1.0,FinTech,logging,True,whitelist,meta70b,req-001
REQ-001-HLJ-Chunk_2-Item_2-v1.0,FinTech,security,True,whitelist,meta70b,req-001
REQ-007-HLJ-Chunk_1-Item_1-v1.0,FinTech,aml,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_1-v1.0,FinTech,screening,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_1-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_1-v1.0,FinTech,regulation,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_1-v1.0,FinTech,integration,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_1-v1.0,FinTech,kyc,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_2-v1.0,FinTech,aml,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_2-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_2-v1.0,FinTech,performance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_2-v1.0,FinTech,api,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_2-v1.0,FinTech,risk,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_2-v1.0,FinTech,regulation,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_2-v1.0,FinTech,onboarding,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,performance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,security,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,aml,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,privacy,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,integration,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,sla,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,audit,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_3-v1.0,FinTech,backend,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_4-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_4-v1.0,FinTech,fallback,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_4-v1.0,FinTech,aml,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_4-v1.0,FinTech,reporting,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_4-v1.0,FinTech,regulation,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_4-v1.0,FinTech,availability,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_5-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_5-v1.0,FinTech,aml,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_5-v1.0,FinTech,notification,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_5-v1.0,FinTech,workflow,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_5-v1.0,FinTech,ui,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_5-v1.0,FinTech,state,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,testing,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,audit,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,logging,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,workflow,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,screening,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,notification,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_6-v1.0,FinTech,traceability,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_7-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_7-v1.0,FinTech,security,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_7-v1.0,FinTech,matching,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_7-v1.0,FinTech,monitoring,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_7-v1.0,FinTech,aml,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_7-v1.0,FinTech,workflow,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_7-v1.0,FinTech,alert,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_8-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_8-v1.0,FinTech,audit,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_8-v1.0,FinTech,regulation,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_8-v1.0,FinTech,security,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_8-v1.0,FinTech,workflow,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_8-v1.0,FinTech,manual,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_8-v1.0,FinTech,privacy,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_9-v1.0,FinTech,compliance,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_9-v1.0,FinTech,audit,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_9-v1.0,FinTech,security,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_9-v1.0,FinTech,dashboard,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_9-v1.0,FinTech,legal,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_9-v1.0,FinTech,support,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_9-v1.0,FinTech,reporting,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_10-v1.0,FinTech,privacy,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_10-v1.0,FinTech,training,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_10-v1.0,FinTech,security,True,whitelist,meta70b,req-007
REQ-007-HLJ-Chunk_1-Item_10-v1.0,FinTech,documentation,True,whitelist,meta70b,req-007
REQ-009-HLJ-Chunk_1-Item_1-v1.0,FinTech,ui,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_1-v1.0,FinTech,payments,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_1-v1.0,FinTech,scheduled payments,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_1-v1.0,FinTech,scheduling,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_2-v1.0,FinTech,fx,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_2-v1.0,FinTech,lock,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_2-v1.0,FinTech,fx-rates,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_3-v1.0,FinTech,ui,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_3-v1.0,FinTech,fx,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_3-v1.0,FinTech,payments,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_3-v1.0,FinTech,fx-rates,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_3-v1.0,FinTech,rate-lock,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_3-v1.0,FinTech,countdown,,unknown_domain_in_tag,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_4-v1.0,FinTech,fx,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_4-v1.0,FinTech,timer,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_4-v1.0,FinTech,api,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_4-v1.0,FinTech,integration,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_4-v1.0,FinTech,fx-rates,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_5-v1.0,FinTech,fx,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_5-v1.0,FinTech,compliance,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_5-v1.0,FinTech,ui,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_5-v1.0,FinTech,notification,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_5-v1.0,FinTech,lock,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_5-v1.0,FinTech,fx-rates,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_6-v1.0,FinTech,payments,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_6-v1.0,FinTech,audit,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_6-v1.0,FinTech,fx,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_6-v1.0,FinTech,scheduling,True,whitelist,meta70b,req-009
REQ-009-HLJ-Chunk_1-Item_6-v1.0,FinTech,processing,True,whitelist,meta70b,req-009
