req_id,hlj_id,missing_model
req-002,req-002-hlj-chunk_2-item_3-v1.0,meta70b
req-002,req-002-hlj-chunk_2-item_4-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_4-v1.0,meta70b
req-002,req-002-hlj-chunk_2-item_5-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_5-v1.0,meta70b
req-002,req-002-hlj-chunk_2-item_6-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_6-v1.0,opus4
req-002,req-002-hlj-chunk_2-item_7-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_7-v1.0,opus4
req-002,req-002-hlj-chunk_2-item_8-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_8-v1.0,opus4
req-002,req-002-hlj-chunk_2-item_9-v1.0,gpt41
req-002,req-002-hlj-chunk_2-item_9-v1.0,opus4
req-003,req-003-hlj-chunk_1-item_10-v1.0,meta70b
req-003,req-003-hlj-chunk_1-item_8-v1.0,meta70b
req-003,req-003-hlj-chunk_1-item_9-v1.0,meta70b
req-003,req-003-hlj-chunk_2-item_1-v1.0,gpt41
req-003,req-003-hlj-chunk_2-item_1-v1.0,meta70b
req-003,req-003-hlj-chunk_2-item_2-v1.0,gpt41
req-003,req-003-hlj-chunk_2-item_2-v1.0,meta70b
req-004,req-004-hlj-chunk_2-item_4-v1.0,gpt41
req-004,req-004-hlj-chunk_2-item_5-v1.0,gpt41
req-005,req-005-hlj-chunk_1-item_10-v1.0,meta70b
req-005,req-005-hlj-chunk_1-item_6-v1.0,meta70b
req-005,req-005-hlj-chunk_1-item_7-v1.0,meta70b
req-005,req-005-hlj-chunk_1-item_8-v1.0,meta70b
req-005,req-005-hlj-chunk_1-item_9-v1.0,meta70b
req-005,req-005-hlj-chunk_2-item_1-v1.0,meta70b
req-005,req-005-hlj-chunk_2-item_2-v1.0,meta70b
req-005,req-005-hlj-chunk_2-item_3-v1.0,meta70b
req-005,req-005-hlj-chunk_2-item_4-v1.0,meta70b
req-005,req-005-hlj-chunk_2-item_5-v1.0,meta70b
req-005,req-005-hlj-chunk_3-item_1-v1.0,gpt41
req-005,req-005-hlj-chunk_3-item_1-v1.0,meta70b
req-005,req-005-hlj-chunk_3-item_2-v1.0,gpt41
req-005,req-005-hlj-chunk_3-item_2-v1.0,meta70b
req-005,req-005-hlj-chunk_3-item_3-v1.0,gpt41
req-005,req-005-hlj-chunk_3-item_3-v1.0,meta70b
req-005,req-005-hlj-chunk_3-item_4-v1.0,gpt41
req-005,req-005-hlj-chunk_3-item_4-v1.0,meta70b
req-006,req-006-hlj-chunk_2-item_10-v1.0,meta70b
req-006,req-006-hlj-chunk_2-item_6-v1.0,meta70b
req-006,req-006-hlj-chunk_2-item_7-v1.0,meta70b
req-006,req-006-hlj-chunk_2-item_8-v1.0,meta70b
req-006,req-006-hlj-chunk_2-item_9-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_1-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_2-v1.0,gpt41
req-007,req-007-hlj-chunk_2-item_2-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_3-v1.0,gpt41
req-007,req-007-hlj-chunk_2-item_3-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_4-v1.0,gpt41
req-007,req-007-hlj-chunk_2-item_4-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_5-v1.0,gpt41
req-007,req-007-hlj-chunk_2-item_5-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_6-v1.0,gpt41
req-007,req-007-hlj-chunk_2-item_6-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_7-v1.0,gpt41
req-007,req-007-hlj-chunk_2-item_7-v1.0,meta70b
req-007,req-007-hlj-chunk_2-item_8-v1.0,gpt41
req-007,req-007-hlj-chunk_2-item_8-v1.0,meta70b
req-008,req-008-hlj-chunk_1-item_10-v1.0,meta70b
req-008,req-008-hlj-chunk_1-item_6-v1.0,meta70b
req-008,req-008-hlj-chunk_1-item_7-v1.0,meta70b
req-008,req-008-hlj-chunk_1-item_8-v1.0,meta70b
req-008,req-008-hlj-chunk_1-item_9-v1.0,meta70b
req-008,req-008-hlj-chunk_2-item_1-v1.0,meta70b
req-008,req-008-hlj-chunk_2-item_2-v1.0,meta70b
req-008,req-008-hlj-chunk_2-item_3-v1.0,meta70b
req-008,req-008-hlj-chunk_2-item_4-v1.0,meta70b
req-008,req-008-hlj-chunk_2-item_5-v1.0,gpt41
req-008,req-008-hlj-chunk_2-item_5-v1.0,meta70b
req-008,req-008-hlj-chunk_2-item_6-v1.0,gpt41
req-008,req-008-hlj-chunk_2-item_7-v1.0,gpt41
req-008,req-008-hlj-chunk_2-item_8-v1.0,gpt41
req-008,req-008-hlj-chunk_2-item_9-v1.0,gpt41
req-008,req-008-hlj-chunk_2-item_9-v1.0,opus4
req-008,req-008-hlj-chunk_3-item_1-v1.0,gpt41
req-008,req-008-hlj-chunk_3-item_1-v1.0,meta70b
req-008,req-008-hlj-chunk_3-item_2-v1.0,gpt41
req-008,req-008-hlj-chunk_3-item_2-v1.0,meta70b
req-008,req-008-hlj-chunk_3-item_3-v1.0,gpt41
req-008,req-008-hlj-chunk_3-item_3-v1.0,meta70b
req-008,req-008-hlj-chunk_3-item_4-v1.0,gpt41
req-008,req-008-hlj-chunk_3-item_4-v1.0,meta70b
req-008,req-008-hlj-chunk_3-item_5-v1.0,gpt41
req-008,req-008-hlj-chunk_3-item_5-v1.0,meta70b
req-008,req-008-hlj-chunk_3-item_6-v1.0,gpt41
req-008,req-008-hlj-chunk_3-item_6-v1.0,meta70b
req-009,req-009-hlj-chunk_2-item_10-v1.0,opus4
req-009,req-009-hlj-chunk_2-item_10-v1.0,meta70b
req-009,req-009-hlj-chunk_2-item_6-v1.0,meta70b
req-009,req-009-hlj-chunk_2-item_7-v1.0,meta70b
req-009,req-009-hlj-chunk_2-item_8-v1.0,meta70b
req-009,req-009-hlj-chunk_2-item_9-v1.0,opus4
req-009,req-009-hlj-chunk_2-item_9-v1.0,meta70b
req-009,req-009-hlj-chunk_3-item_1-v1.0,gpt41
req-009,req-009-hlj-chunk_3-item_1-v1.0,meta70b
req-009,req-009-hlj-chunk_3-item_2-v1.0,gpt41
req-009,req-009-hlj-chunk_3-item_2-v1.0,meta70b
req-009,req-009-hlj-chunk_3-item_3-v1.0,gpt41
req-009,req-009-hlj-chunk_3-item_3-v1.0,meta70b
req-009,req-009-hlj-chunk_3-item_4-v1.0,gpt41
req-009,req-009-hlj-chunk_3-item_4-v1.0,meta70b
req-009,req-009-hlj-chunk_3-item_5-v1.0,gpt41
req-009,req-009-hlj-chunk_3-item_5-v1.0,meta70b
req-009,req-009-hlj-chunk_3-item_6-v1.0,gpt41
req-009,req-009-hlj-chunk_3-item_6-v1.0,meta70b
req-009,req-009-hlj-chunk_3-item_7-v1.0,gpt41
req-009,req-009-hlj-chunk_3-item_7-v1.0,meta70b
req-010,req-010-hlj-chunk_1-item_1-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_10-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_2-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_3-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_4-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_5-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_6-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_7-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_8-v1.0,opus4
req-010,req-010-hlj-chunk_1-item_9-v1.0,opus4
req-010,req-010-hlj-chunk_2-item_1-v1.0,opus4
req-010,req-010-hlj-chunk_2-item_2-v1.0,opus4
req-010,req-010-hlj-chunk_2-item_3-v1.0,opus4
req-010,req-010-hlj-chunk_2-item_4-v1.0,gpt41
req-010,req-010-hlj-chunk_2-item_4-v1.0,opus4
req-010,req-010-hlj-chunk_2-item_5-v1.0,gpt41
req-010,req-010-hlj-chunk_2-item_5-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_1-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_10-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_10-v1.0,meta70b
req-011,req-011-hlj-chunk_1-item_2-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_3-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_4-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_5-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_6-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_6-v1.0,meta70b
req-011,req-011-hlj-chunk_1-item_7-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_7-v1.0,meta70b
req-011,req-011-hlj-chunk_1-item_8-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_8-v1.0,meta70b
req-011,req-011-hlj-chunk_1-item_9-v1.0,opus4
req-011,req-011-hlj-chunk_1-item_9-v1.0,meta70b
req-011,req-011-hlj-chunk_2-item_1-v1.0,opus4
req-011,req-011-hlj-chunk_2-item_1-v1.0,meta70b
req-011,req-011-hlj-chunk_2-item_10-v1.0,gpt41
req-011,req-011-hlj-chunk_2-item_10-v1.0,opus4
req-011,req-011-hlj-chunk_2-item_2-v1.0,opus4
req-011,req-011-hlj-chunk_2-item_2-v1.0,meta70b
req-011,req-011-hlj-chunk_2-item_3-v1.0,opus4
req-011,req-011-hlj-chunk_2-item_3-v1.0,meta70b
req-011,req-011-hlj-chunk_2-item_6-v1.0,gpt41
req-011,req-011-hlj-chunk_2-item_6-v1.0,opus4
req-011,req-011-hlj-chunk_2-item_7-v1.0,gpt41
req-011,req-011-hlj-chunk_2-item_7-v1.0,opus4
req-011,req-011-hlj-chunk_2-item_8-v1.0,gpt41
req-011,req-011-hlj-chunk_2-item_8-v1.0,opus4
req-011,req-011-hlj-chunk_2-item_9-v1.0,gpt41
req-011,req-011-hlj-chunk_2-item_9-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_1-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_10-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_10-v1.0,meta70b
req-012,req-012-hlj-chunk_1-item_2-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_3-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_4-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_5-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_6-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_6-v1.0,meta70b
req-012,req-012-hlj-chunk_1-item_7-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_7-v1.0,meta70b
req-012,req-012-hlj-chunk_1-item_8-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_8-v1.0,meta70b
req-012,req-012-hlj-chunk_1-item_9-v1.0,opus4
req-012,req-012-hlj-chunk_1-item_9-v1.0,meta70b
req-012,req-012-hlj-chunk_2-item_1-v1.0,opus4
req-012,req-012-hlj-chunk_2-item_1-v1.0,meta70b
req-012,req-012-hlj-chunk_2-item_10-v1.0,gpt41
req-012,req-012-hlj-chunk_2-item_10-v1.0,opus4
req-012,req-012-hlj-chunk_2-item_2-v1.0,opus4
req-012,req-012-hlj-chunk_2-item_2-v1.0,meta70b
req-012,req-012-hlj-chunk_2-item_3-v1.0,opus4
req-012,req-012-hlj-chunk_2-item_3-v1.0,meta70b
req-012,req-012-hlj-chunk_2-item_6-v1.0,gpt41
req-012,req-012-hlj-chunk_2-item_6-v1.0,opus4
req-012,req-012-hlj-chunk_2-item_7-v1.0,gpt41
req-012,req-012-hlj-chunk_2-item_7-v1.0,opus4
req-012,req-012-hlj-chunk_2-item_8-v1.0,gpt41
req-012,req-012-hlj-chunk_2-item_8-v1.0,opus4
req-012,req-012-hlj-chunk_2-item_9-v1.0,gpt41
req-012,req-012-hlj-chunk_2-item_9-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_1-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_10-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_10-v1.0,meta70b
req-013,req-013-hlj-chunk_1-item_2-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_3-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_4-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_5-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_6-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_6-v1.0,meta70b
req-013,req-013-hlj-chunk_1-item_7-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_7-v1.0,meta70b
req-013,req-013-hlj-chunk_1-item_8-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_8-v1.0,meta70b
req-013,req-013-hlj-chunk_1-item_9-v1.0,opus4
req-013,req-013-hlj-chunk_1-item_9-v1.0,meta70b
req-013,req-013-hlj-chunk_2-item_1-v1.0,opus4
req-013,req-013-hlj-chunk_2-item_2-v1.0,opus4
req-013,req-013-hlj-chunk_2-item_3-v1.0,opus4
req-013,req-013-hlj-chunk_2-item_4-v1.0,opus4
req-013,req-013-hlj-chunk_2-item_5-v1.0,gpt41
req-013,req-013-hlj-chunk_2-item_5-v1.0,opus4
req-013,req-013-hlj-chunk_2-item_6-v1.0,gpt41
req-013,req-013-hlj-chunk_2-item_6-v1.0,opus4
req-013,req-013-hlj-chunk_2-item_7-v1.0,gpt41
req-013,req-013-hlj-chunk_2-item_7-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_1-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_10-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_10-v1.0,meta70b
req-014,req-014-hlj-chunk_1-item_2-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_3-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_4-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_5-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_6-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_6-v1.0,meta70b
req-014,req-014-hlj-chunk_1-item_7-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_7-v1.0,meta70b
req-014,req-014-hlj-chunk_1-item_8-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_8-v1.0,meta70b
req-014,req-014-hlj-chunk_1-item_9-v1.0,opus4
req-014,req-014-hlj-chunk_1-item_9-v1.0,meta70b
req-014,req-014-hlj-chunk_2-item_10-v1.0,gpt41
req-014,req-014-hlj-chunk_2-item_10-v1.0,opus4
req-014,req-014-hlj-chunk_2-item_11-v1.0,gpt41
req-014,req-014-hlj-chunk_2-item_11-v1.0,opus4
req-014,req-014-hlj-chunk_2-item_12-v1.0,gpt41
req-014,req-014-hlj-chunk_2-item_12-v1.0,opus4
req-014,req-014-hlj-chunk_2-item_6-v1.0,gpt41
req-014,req-014-hlj-chunk_2-item_6-v1.0,opus4
req-014,req-014-hlj-chunk_2-item_7-v1.0,gpt41
req-014,req-014-hlj-chunk_2-item_7-v1.0,opus4
req-014,req-014-hlj-chunk_2-item_8-v1.0,gpt41
req-014,req-014-hlj-chunk_2-item_8-v1.0,opus4
req-014,req-014-hlj-chunk_2-item_9-v1.0,gpt41
req-014,req-014-hlj-chunk_2-item_9-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_1-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_10-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_2-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_3-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_4-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_5-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_6-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_7-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_8-v1.0,opus4
req-015,req-015-hlj-chunk_1-item_9-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_1-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_1-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_2-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_2-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_3-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_3-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_4-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_4-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_5-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_5-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_6-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_6-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_7-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_7-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_8-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_8-v1.0,meta70b
req-015,req-015-hlj-chunk_2-item_9-v1.0,opus4
req-015,req-015-hlj-chunk_2-item_9-v1.0,meta70b
req-016,req-016-hlj-chunk_1-item_10-v1.0,opus4
req-016,req-016-hlj-chunk_1-item_10-v1.0,meta70b
req-016,req-016-hlj-chunk_1-item_9-v1.0,opus4
req-016,req-016-hlj-chunk_1-item_9-v1.0,meta70b
req-017,req-017-hlj-chunk_2-item_1-v1.0,gpt41
req-017,req-017-hlj-chunk_2-item_1-v1.0,meta70b
req-017,req-017-hlj-chunk_2-item_2-v1.0,gpt41
req-017,req-017-hlj-chunk_2-item_2-v1.0,meta70b
req-018,req-018-hlj-chunk_1-item_10-v1.0,meta70b
req-018,req-018-hlj-chunk_1-item_9-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_1-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_1-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_2-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_2-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_3-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_3-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_4-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_4-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_5-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_5-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_6-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_6-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_7-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_7-v1.0,meta70b
req-018,req-018-hlj-chunk_2-item_8-v1.0,gpt41
req-018,req-018-hlj-chunk_2-item_8-v1.0,meta70b
req-019,req-019-hlj-chunk_1-item_10-v1.0,meta70b
req-019,req-019-hlj-chunk_1-item_9-v1.0,meta70b
req-019,req-019-hlj-chunk_2-item_1-v1.0,gpt41
req-019,req-019-hlj-chunk_2-item_1-v1.0,meta70b
req-019,req-019-hlj-chunk_2-item_2-v1.0,gpt41
req-019,req-019-hlj-chunk_2-item_2-v1.0,meta70b
req-019,req-019-hlj-chunk_2-item_3-v1.0,gpt41
req-019,req-019-hlj-chunk_2-item_3-v1.0,meta70b
req-019,req-019-hlj-chunk_2-item_4-v1.0,gpt41
req-019,req-019-hlj-chunk_2-item_4-v1.0,meta70b
req-019,req-019-hlj-chunk_2-item_5-v1.0,gpt41
req-019,req-019-hlj-chunk_2-item_5-v1.0,meta70b
req-019,req-019-hlj-chunk_2-item_6-v1.0,gpt41
req-019,req-019-hlj-chunk_2-item_6-v1.0,meta70b
req-019,req-019-hlj-chunk_2-item_7-v1.0,gpt41
req-019,req-019-hlj-chunk_2-item_7-v1.0,meta70b
req-020,req-020-hlj-chunk_2-item_11-v1.0,gpt41
req-020,req-020-hlj-chunk_2-item_11-v1.0,meta70b
req-020,req-020-hlj-chunk_2-item_12-v1.0,gpt41
req-020,req-020-hlj-chunk_2-item_12-v1.0,meta70b
req-020,req-020-hlj-chunk_2-item_13-v1.0,gpt41
req-020,req-020-hlj-chunk_2-item_13-v1.0,meta70b
req-020,req-020-hlj-chunk_2-item_14-v1.0,gpt41
req-020,req-020-hlj-chunk_2-item_14-v1.0,meta70b
req-021,req-021-hlj-chunk_1-item_10-v1.0,meta70b
req-021,req-021-hlj-chunk_1-item_8-v1.0,meta70b
req-021,req-021-hlj-chunk_1-item_9-v1.0,meta70b
req-021,req-021-hlj-chunk_2-item_1-v1.0,gpt41
req-021,req-021-hlj-chunk_2-item_1-v1.0,meta70b
req-021,req-021-hlj-chunk_2-item_2-v1.0,gpt41
req-021,req-021-hlj-chunk_2-item_2-v1.0,meta70b
req-021,req-021-hlj-chunk_2-item_3-v1.0,gpt41
req-021,req-021-hlj-chunk_2-item_3-v1.0,meta70b
req-021,req-021-hlj-chunk_2-item_4-v1.0,gpt41
req-021,req-021-hlj-chunk_2-item_4-v1.0,meta70b
req-021,req-021-hlj-chunk_2-item_5-v1.0,gpt41
req-021,req-021-hlj-chunk_2-item_5-v1.0,meta70b
req-022,req-022-hlj-chunk_1-item_10-v1.0,meta70b
req-022,req-022-hlj-chunk_1-item_9-v1.0,meta70b
req-022,req-022-hlj-chunk_2-item_1-v1.0,gpt41
req-022,req-022-hlj-chunk_2-item_1-v1.0,meta70b
req-022,req-022-hlj-chunk_2-item_2-v1.0,gpt41
req-022,req-022-hlj-chunk_2-item_2-v1.0,meta70b
req-023,req-023-hlj-chunk_1-item_10-v1.0,meta70b
req-023,req-023-hlj-chunk_1-item_6-v1.0,meta70b
req-023,req-023-hlj-chunk_1-item_7-v1.0,meta70b
req-023,req-023-hlj-chunk_1-item_8-v1.0,meta70b
req-023,req-023-hlj-chunk_1-item_9-v1.0,meta70b
req-023,req-023-hlj-chunk_2-item_1-v1.0,meta70b
req-023,req-023-hlj-chunk_2-item_10-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_10-v1.0,opus4
req-023,req-023-hlj-chunk_2-item_11-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_11-v1.0,opus4
req-023,req-023-hlj-chunk_2-item_12-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_12-v1.0,opus4
req-023,req-023-hlj-chunk_2-item_2-v1.0,meta70b
req-023,req-023-hlj-chunk_2-item_3-v1.0,meta70b
req-023,req-023-hlj-chunk_2-item_4-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_4-v1.0,meta70b
req-023,req-023-hlj-chunk_2-item_5-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_5-v1.0,meta70b
req-023,req-023-hlj-chunk_2-item_6-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_7-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_8-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_9-v1.0,gpt41
req-023,req-023-hlj-chunk_2-item_9-v1.0,opus4
req-024,req-024-hlj-chunk_1-item_10-v1.0,meta70b
req-024,req-024-hlj-chunk_1-item_6-v1.0,meta70b
req-024,req-024-hlj-chunk_1-item_7-v1.0,meta70b
req-024,req-024-hlj-chunk_1-item_8-v1.0,meta70b
req-024,req-024-hlj-chunk_1-item_9-v1.0,meta70b
req-024,req-024-hlj-chunk_2-item_1-v1.0,meta70b
req-024,req-024-hlj-chunk_2-item_10-v1.0,gpt41
req-024,req-024-hlj-chunk_2-item_2-v1.0,meta70b
req-024,req-024-hlj-chunk_2-item_3-v1.0,meta70b
req-024,req-024-hlj-chunk_2-item_4-v1.0,meta70b
req-024,req-024-hlj-chunk_2-item_5-v1.0,gpt41
req-024,req-024-hlj-chunk_2-item_5-v1.0,meta70b
req-024,req-024-hlj-chunk_2-item_6-v1.0,gpt41
req-024,req-024-hlj-chunk_2-item_7-v1.0,gpt41
req-024,req-024-hlj-chunk_2-item_8-v1.0,gpt41
req-024,req-024-hlj-chunk_2-item_9-v1.0,gpt41
req-024,req-024-hlj-chunk_3-item_1-v1.0,gpt41
req-024,req-024-hlj-chunk_3-item_1-v1.0,meta70b
req-024,req-024-hlj-chunk_3-item_2-v1.0,gpt41
req-024,req-024-hlj-chunk_3-item_2-v1.0,meta70b
req-024,req-024-hlj-chunk_3-item_3-v1.0,gpt41
req-024,req-024-hlj-chunk_3-item_3-v1.0,meta70b
req-024,req-024-hlj-chunk_3-item_4-v1.0,gpt41
req-024,req-024-hlj-chunk_3-item_4-v1.0,meta70b
req-025,req-025-hlj-chunk_1-item_10-v1.0,meta70b
req-025,req-025-hlj-chunk_1-item_9-v1.0,meta70b
req-025,req-025-hlj-chunk_2-item_1-v1.0,meta70b
req-025,req-025-hlj-chunk_2-item_2-v1.0,meta70b
req-025,req-025-hlj-chunk_2-item_3-v1.0,gpt41
req-025,req-025-hlj-chunk_2-item_3-v1.0,meta70b
req-025,req-025-hlj-chunk_2-item_4-v1.0,gpt41
req-025,req-025-hlj-chunk_2-item_4-v1.0,meta70b
req-025,req-025-hlj-chunk_2-item_5-v1.0,gpt41
req-025,req-025-hlj-chunk_2-item_5-v1.0,meta70b
req-026,req-026-hlj-chunk_1-item_1-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_10-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_10-v1.0,meta70b
req-026,req-026-hlj-chunk_1-item_2-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_3-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_4-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_5-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_6-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_6-v1.0,meta70b
req-026,req-026-hlj-chunk_1-item_7-v1.0,opus4
req-026,req-026-hlj-chunk_1-item_7-v1.0,meta70b
req-026,req-026-hlj-chunk_1-item_8-v1.0,opus4
