tag,hlj_id,requirement_id,model,version,cluster_id
browser-matrix,REQ-030-HLJ-Chunk_1-Item_10-v1.0,req-030,gpt41,tags_v1,gpt41_42
communication,REQ-030-HLJ-Chunk_1-Item_10-v1.0,req-030,gpt41,tags_v1,gpt41_43
browser-matrix,REQ-030-HLJ-Chunk_1-Item_10-v1.0,req-030,gpt41,tags_v2,gpt41_42
communication,REQ-030-HLJ-Chunk_1-Item_10-v1.0,req-030,gpt41,tags_v2,gpt41_43
security,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v1,gpt41_44
artifacts,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v1,gpt41_45
compliance,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v1,gpt41_12
security,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v2,gpt41_44
artifacts,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v2,gpt41_45
accessibility,REQ-030-HLJ-Chunk_2-Item_2-v1.0,req-030,gpt41,tags_v1,gpt41_46
compliance,REQ-030-HLJ-Chunk_2-Item_2-v1.0,req-030,gpt41,tags_v1,gpt41_12
accessibility,REQ-030-HLJ-Chunk_2-Item_2-v1.0,req-030,gpt41,tags_v2,gpt41_46
compliance,REQ-030-HLJ-Chunk_2-Item_2-v1.0,req-030,gpt41,tags_v2,gpt41_12
rate-limiting,REQ-006-HLJ-Chunk_1-Item_1-v1.0,req-006,gpt41,tags_v1,gpt41_47
configuration,REQ-006-HLJ-Chunk_1-Item_1-v1.0,req-006,gpt41,tags_v1,gpt41_48
rate-limiting,REQ-006-HLJ-Chunk_1-Item_2-v1.0,req-006,gpt41,tags_v1,gpt41_47
configuration,REQ-006-HLJ-Chunk_1-Item_3-v1.0,req-006,gpt41,tags_v1,gpt41_48
real-time,REQ-006-HLJ-Chunk_1-Item_3-v1.0,req-006,gpt41,tags_v1,gpt41_49
rate-limiting,REQ-006-HLJ-Chunk_1-Item_4-v1.0,req-006,gpt41,tags_v1,gpt41_47
enforcement,REQ-006-HLJ-Chunk_1-Item_4-v1.0,req-006,gpt41,tags_v1,gpt41_50
enforcement,REQ-006-HLJ-Chunk_1-Item_4-v1.0,req-006,gpt41,tags_v2,gpt41_50
feedback,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,gpt41,tags_v1,gpt41_51
api,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,gpt41,tags_v1,gpt41_52
feedback,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,gpt41,tags_v2,gpt41_51
compliance,REQ-006-HLJ-Chunk_1-Item_6-v1.0,req-006,gpt41,tags_v1,gpt41_12
logging,REQ-006-HLJ-Chunk_1-Item_6-v1.0,req-006,gpt41,tags_v1,gpt41_24
compliance,REQ-006-HLJ-Chunk_1-Item_6-v1.0,req-006,gpt41,tags_v2,gpt41_12
logs,REQ-006-HLJ-Chunk_1-Item_6-v1.0,req-006,gpt41,tags_v2,gpt41_24
monitoring,REQ-006-HLJ-Chunk_1-Item_7-v1.0,req-006,gpt41,tags_v1,gpt41_23
alerting,REQ-006-HLJ-Chunk_1-Item_7-v1.0,req-006,gpt41,tags_v1,gpt41_53
monitoring,REQ-006-HLJ-Chunk_1-Item_7-v1.0,req-006,gpt41,tags_v2,gpt41_23
monitoring,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,gpt41,tags_v1,gpt41_23
self-service,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,gpt41,tags_v1,gpt41_54
monitoring,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,gpt41,tags_v2,gpt41_23
reporting,REQ-006-HLJ-Chunk_1-Item_9-v1.0,req-006,gpt41,tags_v1,gpt41_55
compliance,REQ-006-HLJ-Chunk_1-Item_9-v1.0,req-006,gpt41,tags_v1,gpt41_12
reporting,REQ-006-HLJ-Chunk_1-Item_9-v1.0,req-006,gpt41,tags_v2,gpt41_55
compliance,REQ-006-HLJ-Chunk_1-Item_9-v1.0,req-006,gpt41,tags_v2,gpt41_12
security,REQ-006-HLJ-Chunk_1-Item_10-v1.0,req-006,gpt41,tags_v1,gpt41_44
security,REQ-006-HLJ-Chunk_1-Item_10-v1.0,req-006,gpt41,tags_v2,gpt41_44
support,REQ-006-HLJ-Chunk_2-Item_1-v1.0,req-006,gpt41,tags_v1,gpt41_56
audit,REQ-006-HLJ-Chunk_2-Item_1-v1.0,req-006,gpt41,tags_v1,gpt41_25
support,REQ-006-HLJ-Chunk_2-Item_1-v1.0,req-006,gpt41,tags_v2,gpt41_56
availability,REQ-006-HLJ-Chunk_2-Item_2-v1.0,req-006,gpt41,tags_v1,gpt41_57
fallback,REQ-006-HLJ-Chunk_2-Item_2-v1.0,req-006,gpt41,tags_v1,gpt41_58
security,REQ-006-HLJ-Chunk_2-Item_3-v1.0,req-006,gpt41,tags_v1,gpt41_44
security,REQ-006-HLJ-Chunk_2-Item_3-v1.0,req-006,gpt41,tags_v2,gpt41_44
security,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v1,gpt41_44
compliance,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v1,gpt41_12
audit,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v1,gpt41_25
security,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v2,gpt41_44
compliance,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v2,gpt41_12
rollout,REQ-006-HLJ-Chunk_2-Item_5-v1.0,req-006,gpt41,tags_v1,gpt41_59
availability,REQ-006-HLJ-Chunk_2-Item_5-v1.0,req-006,gpt41,tags_v1,gpt41_57
rollout,REQ-006-HLJ-Chunk_2-Item_5-v1.0,req-006,gpt41,tags_v2,gpt41_59
testing,REQ-006-HLJ-Chunk_2-Item_6-v1.0,req-006,gpt41,tags_v1,gpt41_60
developer-experience,REQ-006-HLJ-Chunk_2-Item_6-v1.0,req-006,gpt41,tags_v1,gpt41_61
testing,REQ-006-HLJ-Chunk_2-Item_6-v1.0,req-006,gpt41,tags_v2,gpt41_60
documentation,REQ-006-HLJ-Chunk_2-Item_7-v1.0,req-006,gpt41,tags_v1,gpt41_40
documentation,REQ-006-HLJ-Chunk_2-Item_7-v1.0,req-006,gpt41,tags_v2,gpt41_40
migration,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v1,gpt41_62
compatibility,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v1,gpt41_63
legacy,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v1,gpt41_64
migration,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v2,gpt41_62
compatibility,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v2,gpt41_63
performance,REQ-006-HLJ-Chunk_2-Item_9-v1.0,req-006,gpt41,tags_v1,gpt41_65
latency,REQ-006-HLJ-Chunk_2-Item_9-v1.0,req-006,gpt41,tags_v1,gpt41_66
performance,REQ-006-HLJ-Chunk_2-Item_9-v1.0,req-006,gpt41,tags_v2,gpt41_65
compliance,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v1,gpt41_12
legal,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v1,gpt41_67
communication,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v1,gpt41_43
compliance,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v2,gpt41_12
legal,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v2,gpt41_67
api,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v1,gpt41_52
rest,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v1,gpt41_68
spec,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v1,gpt41_69
api,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v2,gpt41_52
rest,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v2,gpt41_68
api,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v1,gpt41_52
filtering,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v1,gpt41_70
pagination,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v1,gpt41_71
api,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v2,gpt41_52
filter,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v2,gpt41_70
pagination,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v2,gpt41_71
openapi,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v1,gpt41_72
spec,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v1,gpt41_69
compliance,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v1,gpt41_12
openapi,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v2,gpt41_72
compliance,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v2,gpt41_12
deduplication,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v1,gpt41_73
schema,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v1,gpt41_74
data,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v1,gpt41_75
deduplication,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v2,gpt41_73
schema,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v2,gpt41_74
data,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v2,gpt41_75
timezone,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v1,gpt41_76
data,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v1,gpt41_75
metadata,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v1,gpt41_77
timezone,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v2,gpt41_76
data,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v2,gpt41_75
metadata,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v2,gpt41_77
oauth,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v1,gpt41_78
security,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v1,gpt41_44
authentication,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v1,gpt41_79
oauth,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v2,gpt41_78
security,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v2,gpt41_44
authentication,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v2,gpt41_79
logging,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v1,gpt41_24
compliance,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v1,gpt41_12
audit,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v1,gpt41_25
compliance,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v2,gpt41_12
audit,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v2,gpt41_25
error,REQ-001-HLJ-Chunk_1-Item_8-v1.0,req-001,gpt41,tags_v1,gpt41_80
logging,REQ-001-HLJ-Chunk_1-Item_8-v1.0,req-001,gpt41,tags_v1,gpt41_24
error,REQ-001-HLJ-Chunk_1-Item_8-v1.0,req-001,gpt41,tags_v2,gpt41_80
performance,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v1,gpt41_65
latency,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v1,gpt41_66
compliance,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v1,gpt41_12
performance,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v2,gpt41_65
latency,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v2,gpt41_66
documentation,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,gpt41_40
integration,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,gpt41_0
support,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,gpt41_56
compliance,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,gpt41_12
documentation,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v2,gpt41_40
integration,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v2,gpt41_0
support,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v2,gpt41_56
aml,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v1,gpt41_11
screening,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v1,gpt41_81
integration,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v1,gpt41_0
aml,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v2,gpt41_11
screening,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v2,gpt41_81
performance,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v1,gpt41_65
aml,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v1,gpt41_11
onboarding,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v1,gpt41_82
performance,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v2,gpt41_65
aml,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v2,gpt41_11
aml,REQ-007-HLJ-Chunk_1-Item_3-v1.0,req-007,gpt41,tags_v1,gpt41_11
integration,REQ-007-HLJ-Chunk_1-Item_3-v1.0,req-007,gpt41,tags_v1,gpt41_0
aml,REQ-007-HLJ-Chunk_1-Item_3-v1.0,req-007,gpt41,tags_v2,gpt41_11
integration,REQ-007-HLJ-Chunk_1-Item_3-v1.0,req-007,gpt41,tags_v2,gpt41_0
availability,REQ-007-HLJ-Chunk_1-Item_4-v1.0,req-007,gpt41,tags_v1,gpt41_57
aml,REQ-007-HLJ-Chunk_1-Item_4-v1.0,req-007,gpt41,tags_v1,gpt41_11
aml,REQ-007-HLJ-Chunk_1-Item_4-v1.0,req-007,gpt41,tags_v2,gpt41_11
aml,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v1,gpt41_11
notification,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v1,gpt41_83
compliance,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v1,gpt41_12
aml,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v2,gpt41_11
notification,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v2,gpt41_83
audit,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v1,gpt41_25
logging,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v1,gpt41_24
traceability,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v1,gpt41_84
audit,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v2,gpt41_25
logs,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v2,gpt41_24
aml,REQ-007-HLJ-Chunk_1-Item_7-v1.0,req-007,gpt41,tags_v1,gpt41_11
aml,REQ-007-HLJ-Chunk_1-Item_7-v1.0,req-007,gpt41,tags_v2,gpt41_11
audit,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v1,gpt41_25
security,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v1,gpt41_44
immutability,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v1,gpt41_85
audit,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v2,gpt41_25
security,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v2,gpt41_44
dashboard,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v1,gpt41_22
compliance,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v1,gpt41_12
reporting,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v1,gpt41_55
dashboard,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v2,gpt41_22
compliance,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v2,gpt41_12
security,REQ-007-HLJ-Chunk_2-Item_1-v1.0,req-007,gpt41,tags_v1,gpt41_44
encryption,REQ-007-HLJ-Chunk_2-Item_1-v1.0,req-007,gpt41,tags_v1,gpt41_20
compliance,REQ-007-HLJ-Chunk_2-Item_1-v1.0,req-007,gpt41,tags_v1,gpt41_12
security,REQ-007-HLJ-Chunk_2-Item_1-v1.0,req-007,gpt41,tags_v2,gpt41_44
